"Adjusted Cost Base and Capital Gains Report"
"Compiled by AdjustedCostBase.ca"
"https://www.AdjustedCostBase.ca/"
"Portfolio: My Default Portfolio"

"Name","Ticker","Shares","ACB","ACB/Share"
"CHP.
"EXE",,"1000","8099.99","8.10"
"ETHR",,"200","2133.33","10.67"
"HBGD",,"110","2756.69","25.06"
"NWH.UN",,"1000","13009.99","13.01"
"NFI","NFI","270","6673.59","24.72"
"REI","Rei","300","6039.60","20.13"
"TFII","TFII","200","5125.98","25.63"
"AC",,"0","0.00",""
"AQN",,"0","0.00",""
"GOOG",,"0","0.00",""
"BNS","Bns","0","0.00",""
"TD",,"0","0.00",""
"XRE","Xre","0","0.00",""
"XIT",,"0","0.00",""
"ZLB",,"0","0.00",""


"Security","Date","Transaction","Amount","Shares","Amount/Share","Commission","Capital Gain (Loss)","Share Balance","Change in ACB","New ACB","New ACB/Share","Memo","Foreign Currency Transaction","Exchange Rate","Amount in Foreign Currency","Commission in Foreign Corrency","T-Slip Capital Gain"
"GOOG","2019-Dec-26","Buy","3353.82","2","1676.91","12.97","","2","3366.79","3366.79","1683.40","","Yes","0.77","2582.44","9.99",
"TFII","2019-Dec-26","Buy","5115.99","200","25.58","9.99","","200","5125.98","5125.98","25.63","",,,,,,
"ZLB","2019-Dec-26","Buy","16324.99","500","32.65","","","500","16324.99","16324.99","32.65","",,,,,,
"ZLB","2019-Dec-26","Buy","1607.50","50","32.15","","","550","1607.50","17932.49","32.60","",,,,,,
"NFI","2020-Jan-06","Sell","2825.00","100","28.25","","141.00","0","-2684","0.00","","Xfer to tfsa",,,,,,
"ZLB","2020-Jan-06","Sell","3108.60","90","34.54","","174.19","460","-2934.41","14998.08","32.60","Xfer to TFSA",,,,,,
"ZLB","2020-Feb-24","Sell","10824.00","300","36.08","6.00","1036.64","160","-9781.36","5216.72","32.60","",,,,,,
"ZLB","2020-Mar-12","Buy","2872.00","100","28.72","6.00","","260","2878.00","8094.72","31.13","",,,,,,
"AC","2020-Mar-18","Buy","2782.00","200","13.91","5.65","","200","2787.65","2787.65","13.94","",,,,,,
"ZLB","2020-Mar-18","Sell","3019.50","110","27.45","5.33","-410.52","150","-3424.69","4670.03","31.13","",,,,,,
"AC","2020-Mar-19","Buy","1150.00","100","11.50","4.95","","300","1154.95","3942.60","13.14","",,,,,,
"XIT","2020-Mar-31","Buy","5320.00","200","26.60","","","200","5320.00","5320.00","26.60","",,,,,,
"ZLB","2020-Mar-31","Sell","4320.00","150","28.80","5.47","-355.5","0","-4670.03","0.00","","",,,,,,
"GOOG","2020-Apr-08","Buy","3429.97","2","1714.99","7.07","","4","3437.04","6803.84","1700.96","","Yes","0.7","2400.98","4.95",
"BNS","2020-Apr-08","Sell","5809.00","100","58.09","4.95","572.55","200","-5231.5","10463.00","52.32","",,,,,,
"REI","2020-Apr-23","Buy","1492.00","100","14.92","5.30","","300","1497.30","6623.30","22.08","",,,,,,
"XRE","2020-May-08","Buy","1836.25","125","14.69","0.44","","475","1836.69","8671.70","18.26","",,,,,,
"AC","2020-May-11","Sell","4869.00","300","16.23","6.00","920.40","0","-3942.6","0.00","","",,,,,,
"REI","2020-May-22","Buy","1424.00","100","14.24","5.50","","400","1429.50","8052.80","20.13","",,,,,,
"REI","2020-Jun-04","Sell","1612.00","100","16.12","5.30","-406.5","300","-2013.2","6039.60","20.13","",,,,,,
"BNS","2020-Jun-04","Sell","5886.00","100","58.86","4.95","649.55","100","-5231.5","5231.50","52.32","",,,,,,
"XRE","2020-Jun-18","Sell","2605.75","175","14.89","5.56","-594.65","300","-3194.84","5476.86","18.26","",,,,,,
"GOOG","2020-Jun-30","Sell","7620.98","4","1905.25","6.91","810.24","0","-6803.84","0.00","","","Yes","0.734","5593.80","5.07",
"TD","2020-Aug-06","Buy","7532.59","124","60.75","6.60","","124","7539.19","7539.19","60.80","","Yes","0.75","5649.44","4.95",
"TD","2020-Aug-12","Sell","7917.40","124","63.85","5.38","372.83","0","-7539.19","0.00","","",,,,,,
"BNS","2020-Aug-20","Sell","5600.00","100","56.00","5.30","363.20","0","-5231.5","0.00","","",,,,,,
"XRE","2020-Aug-20","Sell","4548.00","300","15.16","6.00","-934.86","0","-5476.86","0.00","","",,,,,,
"XIT","2021-Jan-08","Sell","8984.00","200","44.92","5.65","3658.35","0","-5320","0.00","","",,,,,,
"AQN","2021-May-20","Buy","5553.00","300","18.51","9.99","","300","5562.99","5562.99","18.54","",,,,,,
"CHP.UN","2021-May-20","Buy","4281.00","300","14.27","9.99","","300","4290.99","4290.99","14.30","",,,,,,
"EXE","2021-May-20","Buy","8090.00","1000","8.09","9.99","","1000","8099.99","8099.99","8.10","",,,,,,
"NFI","2021-Jun-06","Buy","6663.60","270","24.68","9.99","","270","6673.59","6673.59","24.72","",,,,,,
"AQN","2021-Jul-06","Sell","5607.00","300","18.69","9.99","34.02","0","-5562.99","0.00","","",,,,,,
"ETHR","2021-Jul-06","Buy","6390.00","600","10.65","9.99","","600","6399.99","6399.99","10.67","",,,,,,
"ETHR","2021-Jul-06","Sell","3472.00","400","8.68","9.99","-804.65","200","-4266.66","2133.33","10.67","",,,,,,
"HBGD","2021-Jul-06","Buy","2746.70","110","24.97","9.99","","110","2756.69","2756.69","25.06","",,,,,,
"NWH.UN","2021-Jul-06","Buy","13000.00","1000","13.00","9.99","","1000","13009.99","13009.99","13.01","",,,,,,

"Grand Total","","","","","","","5226.29"
