"Adjusted Cost Base and Capital Gains Report"
"Compiled by AdjustedCostBase.ca"
"https://www.AdjustedCostBase.ca/"
"Portfolio: My Default Portfolio"

"Name","Ticker","Shares","ACB","ACB/Share"
"REI","Rei","300","6039.60","20.13"
"GOOG",,"0","0.00",""
"ZLB",,"0","0.00",""
"ZLa",,"0","0.00",""
"ZLc",,"0","0.00",""
"ZLd",,"0","0.00",""
"ZLe",,"0","0.00",""
"ZLf",,"0","0.00",""
"ZLg",,"0","0.00",""
"ZLh",,"0","0.00",""
"ZLi",,"0","0.00",""
"ZLj",,"0","0.00",""
"ZLk",,"0","0.00",""
"ZLl",,"0","0.00",""
"ZLm",,"0","0.00",""
"ZLn",,"0","0.00",""
"ZLo",,"0","0.00",""
"ZLp",,"0","0.00",""
"ZLq",,"0","0.00",""
"ZLr",,"0","0.00",""
"ZLs",,"0","0.00",""
"ZLt",,"0","0.00",""
"ZLu",,"0","0.00",""
"ZLv",,"0","0.00",""
"ZLaa",,"0","0.00",""
"ZLbb",,"0","0.00",""
"ZLcc",,"0","0.00",""
"ZLdd",,"0","0.00",""
"ZLee",,"0","0.00",""
"ZLff",,"0","0.00",""
"ZLab",,"0","0.00",""
"ZLac",,"0","0.00",""
"ZLad",,"0","0.00",""
"ZLae",,"0","0.00",""
"ZLaf",,"0","0.00",""
"ZLag",,"0","0.00",""
"ZLah",,"0","0.00",""
"ZLai",,"0","0.00",""
"ZLaj",,"0","0.00",""
"ZLak",,"0","0.00",""
"ZLal",,"0","0.00",""
"ZLam",,"0","0.00",""
"ZLan",,"0","0.00",""

"Security","Date","Transaction","Amount","Shares","Amount/Share","Commission","Capital Gain (Loss)","Share Balance","Change in ACB","New ACB","New ACB/Share","Memo","Foreign Currency Transaction","Exchange Rate","Amount in Foreign Currency","Commission in Foreign Corrency","T-Slip Capital Gain"
"GOOG","2019-Jan-26","Buy","3353.82","2","1676.91","12.97","","2","3366.79","3366.79","1683.40","","Yes","0.77","2582.44","9.99",
"ZLB","2019-Mar-26","Buy","16324.99","500","32.65","","","500","16324.99","16324.99","32.65","",,,,,,
"ZLB","2019-Apr-26","Buy","1607.50","50","32.15","","","550","1607.50","17932.49","32.60","",,,,,,
"ZLB","2020-Jun-06","Sell","3108.60","90","34.54","","174.19","460","-2934.41","14998.08","32.60","Xfer to TFSA",,,,,,
"ZLB","2020-Jul-24","Sell","10824.00","300","36.08","6.00","1036.64","160","-9781.36","5216.72","32.60","",,,,,,
"ZLB","2020-Mar-12","Buy","2872.00","100","28.72","6.00","","260","2878.00","8094.72","31.13","",,,,,,
"ZLB","2020-Mar-18","Sell","3019.50","110","27.45","5.33","-410.52","150","-3424.69","4670.03","31.13","",,,,,,
"ZLB","2020-Mar-31","Sell","4320.00","150","28.80","5.47","-355.5","0","-4670.03","0.00","","",,,,,,
"GOOG","2020-Apr-08","Buy","3429.97","2","1714.99","7.07","","4","3437.04","6803.84","1700.96","","Yes","0.7","2400.98","4.95",
"REI","2020-Apr-23","Buy","1492.00","100","14.92","5.30","","300","1497.30","6623.30","22.08","",,,,,,
"REI","2020-May-22","Buy","1424.00","100","14.24","5.50","","400","1429.50","8052.80","20.13","",,,,,,
"REI","2020-Jun-04","Sell","1612.00","100","16.12","5.30","-406.5","300","-2013.2","6039.60","20.13","",,,,,,
"GOOG","2020-Jun-30","Sell","7620.98","4","1905.25","6.91","810.24","0","-6803.84","0.00","","","Yes","0.734","5593.80","5.07",
